exposure_ms,mean_ADU,std_ADU
0.03200000000000002,637.1919786666667,0.5993216758465512
0.04027196642053846,637.1874506666667,0.19690258587321485
0.050682227480530605,636.5922186666667,1.1496480976685117
0.06378353010043808,637.1403626666666,0.7148568607813913
0.08027150569963265,637.6831253333334,0.9538479010510583
0.10102160568942714,636.3989013333334,0.5800392402848552
0.1271355847522965,636.0584319999999,0.26467409921390106
0.1600000000000001,636.6896693333333,1.02039735610441
0.20135983210269226,636.331952,0.9812211544288258
0.2534111374026527,640.202832,0.08261567218552307
0.31891765050219034,645.8036480000001,0.9025010829437715
0.4013575284981632,647.1794293333334,0.5134771826292611
0.5051080284471356,652.7370239999999,0.7731765424136069
0.6356779237614825,659.6824799999999,0.11322419190262237
0.8000000000000004,665.4742506666666,0.6025851715519067
1.0067991605134612,675.8581226666666,1.363256224776857
1.2670556870132637,690.799056,0.8413668523698069
1.5945882525109516,708.323344,0.8876192862678322
2.0067876424908158,727.5868053333334,0.517198292808004
2.525540142235675,755.19104,0.4747694475089873
3.1783896188074086,791.3325173333333,0.7235302214030228
4.000000000000001,835.9722240000001,1.0591468487771696
5.033995802567305,892.952816,0.8680999487770582
6.335278435066317,965.1677866666668,0.7368182601959552
7.972941262554756,1055.5371573333332,1.3435724847250246
10.033938212454078,1174.4936480000001,0.4546667579433341
12.627700711178388,1322.722144,0.6509184682174813
15.891948094037042,1510.7668053333334,0.29089777733229516
20.000000000000004,1749.6730293333333,0.6730956909113905
25.16997901283652,2055.2273226666666,1.0098772868309753
31.67639217533158,2438.301392,0.432927328454471
39.864706312773734,2923.2143679999995,0.8935824592251048
50.16969106227038,3537.102256,1.0146798344620924
63.13850355589193,4313.204368,3.568817986689894
79.4597404701852,5283.060810666667,2.9860993840396843
100.0,6504.018618666666,2.0996450293037
125.84989506418259,8051.022144,2.253891070484906
158.38196087665787,9991.444576,3.4052054315753675
199.32353156386867,12441.892885333333,2.8898203795278543
250.84845531135187,15521.249792,2.2486614350863365
315.6925177794593,19394.593461333334,3.086134983122001
397.29870235092636,24267.090613333334,3.9958985378985528
499.99999999999994,30393.21167466667,4.770474102478867
629.2494753209129,38138.184885333336,2.4689097486556815
791.9098043832885,47870.39758933333,13.014780663611878
996.6176578193442,59675.595658666665,7.973889872291077
1254.2422765567592,64863.084704,2.3905553922550675
1578.4625888972962,64865.84832,0.0
1986.4935117546313,64865.84832,0.0
2500.0,64865.84832,0.0
