time_min,reading,relative_std
0.0,2.031448e-08,0.0006686586242169789
0.002396678924560547,2.031944e-08,0.0006686586242169789
0.004781595865885417,2.032539e-08,0.0006686586242169789
0.0074413458506266275,2.030652e-08,0.0006686586242169789
0.010113978385925293,2.030471e-08,0.0006686586242169789
0.012517189979553223,2.032954e-08,0.0006686586242169789
0.015166119734446207,2.032542e-08,0.0006686586242169789
0.017827848593393963,2.032659e-08,0.0006686586242169789
0.02050225337346395,2.033291e-08,0.0006686586242169789
0.02289264996846517,2.033562e-08,0.0006686586242169789
0.025276347001393636,2.032233e-08,0.0006686586242169789
0.027950096130371093,2.033577e-08,0.0006686586242169789
0.03060599168141683,2.035246e-08,0.0006686586242169789
0.033006091912587486,2.034449e-08,0.0006686586242169789
0.03539915482203166,2.033646e-08,0.0006686586242169789
0.038048593203226726,2.033359e-08,0.0006686586242169789
0.04071606397628784,2.033556e-08,0.0006686586242169789
0.04336728652318319,2.035924e-08,0.0006686586242169789
0.04576425552368164,2.03416e-08,0.0006686586242169789
