X Fit Position,Y Fit Position,Full Signal Value
-0.32833557776777766,-0.4721089366937292,1475479.0
-0.7372111917299584,0.20353588750239737,1478420.999999999
-0.9071229079697218,0.8463376818883894,1483405.9999999998
-1.062639460578616,1.7132688672953478,1476244.0000000005
-1.2272071940051,2.5659994203514103,1475806.0000000002
-1.27283678557367,3.4185660300086873,1471983.0
-1.3786843598213139,4.340035022241615,1483978.4999999998
-1.5405800073593134,-4.730649805931755,1478184.0000000005
-1.4573850456961779,-3.496133656067606,1487522.5
-1.5875263574695708,-2.724096089611585,1481167.9999999995
-1.5912670232574833,-1.7788451583737341,1485912.0
-1.5967561414414355,-0.8526988258601875,1489944.5
-1.6660458568248337,0.189055213572491,1484837.0
-1.7495381243254116,1.5036657434966827,1478408.0
-1.755596155644401,2.400496480567842,1466119.5
-1.7268341867259984,3.3235749075940824,1475096.5
-1.9227865556019808,4.323043025712199,1485351.0000000002
-1.922749548853222,-4.704739666112303,1487306.0
-1.8919153805985012,-3.4675595269511916,1487796.9999999995
-1.987260736032912,-2.5278109444415797,1489454.0
-1.9121965007021657,-1.494225022979343,1474742.9999999998
-1.419214072580477,-1.3732440935020662,1501025.5000000002
-1.3974023390927393,-2.568789924704955,1487465.4999999998
-1.1408961098283221,-2.888426469592975,1482122.5000000002
-0.6495549300851167,-3.007768939064821,1480901.0
-0.4418792016265627,-3.861545650286775,1480410.4999999998
0.005647920987410515,-3.887339418617035,1474964.9999999998
0.5280029540316988,-3.9513072071502364,1475912.9999999995
0.9350594488550534,-4.216367681721653,1501854.0
1.4145444540478636,-4.366370713803569,1486762.5
1.9169049242989544,-4.5423829291523,1493992.9999999998
2.2695445297101813,-4.889726592227195,1493250.0
2.783605053980569,4.6084376051848785,1494561.0
3.176960290855231,4.1039359189655045,1484744.5000000002
3.6945603420075024,3.5479676091020806,1483499.5000000002
4.23433761163853,2.9678733511749478,1492436.0
4.559715585174633,2.3343516513509854,1477213.0
4.784101608239659,1.6391839970399502,1479791.0
-4.878166002562381,0.9564369578203546,1469113.0000000002
-4.780989223787522,-0.12315822003735377,1471949.5
-4.801122814068304,-1.0938733522366562,1475302.5000000002
-4.600239224428719,-1.878779579521197,1485023.9999999998
-3.877849199883112,-1.831346793842119,1488020.0
-4.708100135835984,-2.5436600010121957,1482980.5
4.205857745413475,-3.021373591160419,1492382.0
3.4146027340373486,-3.199491186300225,1495085.0
2.774073695518826,-3.0875327405303743,1476923.4999999995
2.2175292655007617,-2.8984975956938897,1485940.4999999998
1.910947344568239,-2.5437354015131675,1496043.0
1.4823007698717028,-2.17242483969466,1474020.0000000002
1.2447491372650354,-1.5077688478394435,1491331.9999999998
1.0335156429606407,-0.9864572635967939,1498665.9999999998
0.8098786486464604,-0.2557584988417716,1490031.4999999998
0.6403434406981923,0.4559034156211794,1479787.4999999998
0.4581105179982714,1.275903039705959,1475944.5
0.29254489574453757,2.2052402161131646,1476974.9999999998
0.13751506342059017,3.0601374181897967,1479670.0000000002
0.13050750277887602,3.913716747940388,1482571.0
0.04563446997341458,4.952603843912637,1477394.4999999998
-0.015925378921561872,-4.157535326313901,1501261.0
0.06278279330716785,-3.018571755899231,1483962.0
-0.04403479453705117,-2.0388764950571314,1499001.0000000002
-0.08485128384222662,-1.164283147260754,1482415.0
0.7175149577317441,-0.9527947323066677,1498206.5000000002
0.6605993388237863,-2.1137495494656022,1488203.4999999998
0.8846699960087534,-2.5147345977899604,1490820.0000000005
1.5079818844726667,-2.818492551267937,1498448.5
1.9124734008673272,-3.0051670164510114,1500997.4999999995
2.4464746193388542,-3.159743326372677,1499985.5000000002
3.054847161980536,-3.1337572635864674,1503260.5
3.7500753962771682,-3.364826521966453,1476779.4999999998
4.186128911326854,-3.5648280806758947,1492496.5000000002
4.856025651989935,-3.957168984096917,1495447.9999999998
-4.847026989126295,-4.263048109604508,1492042.5000000005
-4.239813028128712,-4.751144455745706,1488129.5000000002
-3.9244747449023976,4.683817881447805,1489795.5
-3.714947626606442,3.9555381273707724,1501992.5
-3.4719160060525844,3.3921227628572126,1490845.5
-3.2432123054350903,2.7082065879579353,1493739.5000000002
-2.974038986053884,1.9239242310202975,1486960.5
-2.9557868947063426,1.0161470394231742,1495293.5
-2.8644722514208887,0.07844064466546286,1496373.4999999998
-2.7722794861833044,-0.9161797926153703,1483843.9999999998
-2.8138985833093066,-1.8097132644657954,1500632.9999999998
-2.0996527277550214,-1.7322214854609541,1485541.5000000002
-2.946266164628728,-2.409807320667987,1500712.5
-3.624129976308339,-2.7676987195017233,1479608.4999999998
-4.328393397191288,-2.9428136493298496,1487707.5000000002
-4.85044575249999,-2.9825086262768785,1488985.5000000002
4.474982960538636,-2.666952058118639,1495034.0000000002
